Image's Count,MLS® #,Address,Property Info,Size,Asking Price,Date,Seller's Agent
1 of 31, R2678496,# 2601 1000 BEACH AVENUE|Strata Plan VAS2613 |Vancouver BC|(Yaletown) V6E 4M2|(Yaletown) V6E 4M2|FOR SALE,"Apartment|Penthouse, Upper Unit|31 years old (1991)|Freehold Strata|waterfront","House Size|4 bed • 6 bath|7,090 sqft","$23,888,000|assessment $10,691,000|price:assess ratio 223.4%|Maint. fee $4,840.88|Maint. fee $4,840.88",,Prompton Real Estate Services Inc.|brian@yvrglobal.com|Prompton Real Estate Services Inc. Brian Higgins PREC*778-896-8474Prompton Real Estate Services Inc.Salina Lau Veerman PREC*
1 of 23, R2647598,5340 SEASIDE PLACE|West Vancouver BC|(Caulfeild) V7W 3E2|(Caulfeild) V7W 3E2|FOR SALE,House|2 Storey w/Bsmt.|10 years old (2012)|Freehold Strata|waterfront,"House Size|4 bed • 5 bath|6,412 sqft|Lot Size|0.29 acre|0.29 acre","$22,880,000|assessment $11,421,000|price:assess ratio 200.3%|Maint. fee $400|Maint. fee $400",,RE/MAX Masters Realty|matt@mattgul.com|RE/MAX Masters Realty Matt Gul PREC*778-888-8888
1 of 40, R2683659,4763 W 2ND AVENUE|Vancouver BC|(Point Grey) V6T 1C1|(Point Grey) V6T 1C1|FOR SALE,House|3 Storey|8 years old (2014)|Freehold NonStrata,"House Size|5 bed • 8 bath|11,193 sqft|Lot Size|0.75 acre|0.75 acre","$22,800,000|assessment $14,628,000|price:assess ratio 155.9%",,Regent Park Realty Inc.|bryanyan99@yahoo.ca|Regent Park Realty Inc. Bryan Yan604-720-8311
1 of 40, R2657378,2606 SW MARINE DRIVE|Vancouver BC|(S.W. Marine) V6P 6C2|(S.W. Marine) V6P 6C2|FOR SALE,House|2 Storey w/Bsmt.|4 years old (2018)|Freehold NonStrata,"House Size|5 bed • 7 bath|10,177 sqft|Lot Size|0.95 acre|0.95 acre","$22,000,000|assessment $13,132,000|price:assess ratio 167.5%",,Sutton Group-West Coast Realty|herb@suttonwestcoast.com|Sutton Group-West Coast Realty Herb Fischer604-322-3000
1 of 8, R2732094,8636 OAK STREET|Vancouver BC|(Marpole) V6P 4B3|(Marpole) V6P 4B3|FOR SALE,Other|68 years old (1954)|Freehold Strata,House Size|1 bed • 0 bath|Lot Size|0.54 acre|0.54 acre,"$22,000,000|assessment $13,259,000|price:assess ratio 165.9%",,RE/MAX Crest Realty|nickleerealty@hotmail.com|RE/MAX Crest Realty Nick Lee PREC*604-644-7637
1 of 34, R2720872,# PH4201 1077 W CORDOVA STREET|SHAW TOWER |Vancouver BC|(Coal Harbour) V6C 2C6|(Coal Harbour) V6C 2C6|FOR SALE,Apartment|Penthouse|17 years old (2005)|Freehold Strata|waterfront,"House Size|3 bed • 5 bath|6,041 sqft","$21,888,000|assessment $17,295,000|price:assess ratio 126.6%|Maint. fee $4,438.62|Maint. fee $4,438.62",,VIRANI REAL ESTATE ADVISORS|karim@virani.ca|VIRANI REAL ESTATE ADVISORS Karim Virani604-695-1000VIRANI REAL ESTATE ADVISORSHaneef Virani PREC*Rennie & Associates Realty - Jason SoprovichJason Soprovich
1 of 22, R2660952,1784 DRUMMOND DRIVE|Vancouver BC|(Point Grey) V6T 1B6|(Point Grey) V6T 1B6|FOR SALE,House|2 Storey|Old Timer|Freehold NonStrata,House Size|4 bed • 2 bath|Lot Size|1.73 acre|1.73 acre,"$21,800,000|assessment $17,595,000|price:assess ratio 123.9%",,Oakwyn Realty Ltd.|jacky@vancouverspaces.com|Oakwyn Realty Ltd. Jacky Levi PREC*604-780-5677Oakwyn Realty Ltd.Jacob Krause PREC*
1 of 27, R2729300,1611 DRUMMOND DRIVE|Vancouver BC|(Point Grey) V6T 1B7|(Point Grey) V6T 1B7|FOR SALE,House|2 Storey w/Bsmt.|97 years old (1925)|Freehold NonStrata,"House Size|5 bed • 6 bath|6,977 sqft|Lot Size|1.34 acre|1.34 acre","$21,000,000|assessment $16,186,000|price:assess ratio 129.7%",,Macdonald Realty|elkelee@macrealty.com|Macdonald Realty Elke Lee604-657-2616
1 of 38, R2713901,640 GLENMAROON ROAD|West Vancouver BC|(British Properties) V7S 1P6|(British Properties) V7S 1P6|FOR SALE,House|2 Storey w/Bsmt.|1 year old (2021)|Freehold NonStrata,"House Size|7 bed • 11 bath|11,859 sqft|Lot Size|0.61 acre|0.61 acre","$19,990,000|assessment $9,867,000|price:assess ratio 202.6%",,RE/MAX Crest Realty|jstewartremax@gmail.com|RE/MAX Crest Realty Jamie Stewart PREC*604-619-0199
1 of 40, R2662628,3689 SELKIRK STREET|Vancouver BC|(Shaughnessy) V6H 2Y9|(Shaughnessy) V6H 2Y9|FOR SALE,"House|Carriage/Coach House, 3 Storey w/Bsmt|110 years old (1912)|Freehold NonStrata","House Size|12 bed • 12 bath|12,586 sqft|Lot Size|0.91 acre|0.91 acre","$19,980,000|assessment $19,236,000|price:assess ratio 103.9%",,Royal Pacific Realty Corp.|myrealtor.yvonne@gmail.com|Royal Pacific Realty Corp. Yvonne Lu PREC*604-339-3088
1 of 40, R2697090,3906 MARINE DRIVE|West Vancouver BC|(West Bay) V7V 1N4|(West Bay) V7V 1N4|FOR SALE,House|3 Storey|8 years old (2014)|Freehold NonStrata|waterfront,"House Size|4 bed • 6 bath|6,136 sqft|Lot Size|0.29 acre|0.29 acre","$19,900,000|assessment $11,709,000|price:assess ratio 170.0%",,Sotheby's International Realty Canada|mariaproust@me.com|Sotheby's International Realty Canada Maria Proust604-649-6510
1 of 40, R2713197,2929 MATHERS AVENUE|West Vancouver BC|(Altamont) V7V 2J7|(Altamont) V7V 2J7|FOR SALE,House|3 Storey|29 years old (1993)|Freehold NonStrata,"House Size|10 bed • 12 bath|18,245 sqft|Lot Size|0.90 acre|0.90 acre","$19,900,000|assessment $14,741,000|price:assess ratio 135.0%",,YVR International Realty|jim@jimchen.ca|YVR International Realty Jim Chen PREC*604-375-8756
1 of 40, R2696472,1233 TECUMSEH AVENUE|Vancouver BC|(Shaughnessy) V6H 1T3|(Shaughnessy) V6H 1T3|FOR SALE,"House|2 Storey w/Bsmt., Carriage/Coach House|3 years old (2019)|Freehold NonStrata|court-ordered sale","House Size|7 bed • 11 bath|12,413 sqft|Lot Size|0.57 acre|0.57 acre","$19,880,000|assessment $22,275,000|price:assess ratio 89.2%",Price Change2022-Oct-24(3 days ago)|2022-Oct-24(3 days ago)|(3 days ago),"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.|malcolm@malcolmhasman.com|Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd. Malcolm Hasman604-290-1679Angell, Hasman & Associates Realty Ltd.Daniel Tan PREC*"
1 of 20, R2715427,1416 WESBROOK CRESCENT|Vancouver BC|(University VW) V6T 1V7|(University VW) V6T 1V7|FOR SALE,House|2 Storey w/Bsmt.|17 years old (2005)|Freehold NonStrata,"House Size|6 bed • 8 bath|7,876 sqft|Lot Size|0.70 acre|0.70 acre","$19,800,000|assessment $16,238,000|price:assess ratio 121.9%",,Luxmore Realty|sarina0099@gmail.com|Luxmore Realty Sarina Han PREC*778-882-0099
